,address,postcode,latitude,longitude,bedroom_number,bathroom_number,price_per_unit,living_space,price,predicted_price
352348,"2004 N Mission Cir, Friendswood, TX 77546",77546.0,29.48897,-95.20924,5,4,150,2672,365000,942006
413006,"355 County Road 3900, Hawkins, TX 75765",75765.0,32.673557,-95.239136,4,3,718,1850,1150000,474657
53331,"45 Eagle Crest Dr APT 405, Lake Oswego, OR 97035",97035.0,45.43607,-122.70924,3,3,184,1306,195000,853176
359568,"9602 Oakland Lake Way, Missouri City, TX 77459",77459.0,29.494413,-95.52052,6,5,166,3947,615000,1533221
284557,"12664 W Bowles Place, Littleton, CO 80127",80127.0,39.60923,-105.14141,3,4,236,2351,497000,1166055
306377,"18621 Willie Dr, Pflugerville, TX 78660",78660.0,30.448622,-97.56226,5,5,209,2813,535900,1296220
197998,"1975 Blooming Hills Dr UNIT 215, Prescott, AZ 86301",86301.0,34.577797,-112.44594,4,3,251,1611,342000,602077
40970,"2120 Cullison Ln, Grants Pass, OR 97527",97527.0,42.414555,-123.349144,3,2,346,1114,299000,513187
320088,"611 S 1st Ln, McAllen, TX 78501",78501.0,26.195967,-98.221146,5,4,179,4289,725000,1538019
37390,"6327 Franklin Avenue SE, Auburn, WA 98092",98092.0,47.250603,-122.191826,5,5,280,2744,700000,1663836
113703,"9116 Pinyon Point Ct, Corona, CA 92883",92883.0,33.769238,-117.50097,4,5,369,2580,859900,1643423
519124,"16310 S Central St, Olathe, KS 66062",66062.0,38.833714,-94.79687,5,4,153,2307,315000,580021
96400,"880 E Fremont Ave APT 304, Sunnyvale, CA 94087",94087.0,37.35183,-122.015045,2,2,853,983,625888,540251
122992,"2344 San Arturo Ave, Hemet, CA 92545",92545.0,33.755615,-116.996315,4,2,240,1077,199000,256209
38278,"2915 W St, Springfield, OR 97477",97477.0,44.069942,-122.981804,6,4,195,2785,496700,1241385
312891,"101 King Thistle Ct, Georgetown, TX 78626",78626.0,30.595098,-97.66524,5,4,222,2959,603670,1066169
598771,"100 E Walton St APT 22H, Chicago, IL 60611",60611.0,41.900303,-87.62483,2,2,412,1000,309000,129382
3128,"1401 Latouche St #2, Anchorage, AK 99501",99501.0,61.20855,-149.86044,4,5,183,2187,355000,1636832
360131,"4834 Caliburn Cir, Missouri City, TX 77459",77459.0,29.522327,-95.53379,5,5,191,3652,650000,1571226
569086,"615 W Wall St, Morrison, IL 61270",61270.0,41.810772,-89.97646,4,2,34,1510,43900,220623
290921,"5212 Rio Grande Ave, Midland, TX 79707",79707.0,32.020638,-102.158,4,3,196,1369,220000,382666
96107,"786 Lakemuir Dr, Sunnyvale, CA 94089",94089.0,37.39427,-122.002,4,3,1492,1358,1653888,669037
114345,"3750 Paradise Rd #99, Santa Barbara, CA 93105",93105.0,34.5406,-119.8287,2,2,313,649,125000,401302
275255,"25 Huntington Beach Dr, Colorado Springs, CO 80921",80921.0,39.03702,-104.82506,5,5,269,4337,1100000,1885424
540375,"3624 S Ralston Ave, Independence, MO 64052",64052.0,39.056065,-94.454414,4,3,95,2768,239900,565660
28263,"19 152nd Place SE, Lynnwood, WA 98087",98087.0,47.859966,-122.23222,6,4,401,2609,948000,1190923
530635,"815 Dean Dr, Jefferson City, MO 65109",65109.0,38.607746,-92.22607,5,4,85,2928,230000,782278
158825,"17031 Van Ness Ave, Torrance, CA 90504",90504.0,33.875652,-118.31811,4,3,792,1422,929000,619502
382596,"4622 Kingsbury St, Houston, TX 77021",77021.0,29.696503,-95.34505,5,3,164,1887,270000,369983
